"AC ID","Title","Module","Priority","Status","Given","When","Then","QA Notes","Linked UAT","Cross-refs"
"CC-001","User login and session","Cross-Cutting","Critical","Not Started","A user with valid credentials","They log in via the Filament admin panel","They are authenticated and redirected to their role-appropriate dashboard","Fortify auth routes respond correctly; invalid credentials show error; session persists across requests; 2FA enforced for roles that require it","UAT-009",""
"CC-002","Unauthorised access denied","Cross-Cutting","Critical","Not Started","An unauthenticated user","They attempt to access any protected route","They are redirected to the login page","All Filament resource routes return 403 for unauthenticated users; no data leaks in redirect responses","UAT-009",""
"CC-003","Team tenancy data isolation","Cross-Cutting","Critical","Not Started","Two separate teams (tenants) with their own records","A user in Team A views any list or record","They see only Team A's data - no records from Team B are visible","Global scope on all tenant-scoped models filters by team_id; direct URL access returns 403 or 404","UAT-010",""
"CC-004","Role-based permission enforcement","Cross-Cutting","Critical","Not Started","A user assigned role frontline","They attempt to delete an enquiry","The action is denied (no delete permission for FL role)","Spatie Shield permissions checked via policies; Filament actions hidden/disabled for unauthorised roles; EnquiryPolicy::delete() returns false for FL role","UAT-009",""
"CC-005","Audit trail on all create/update/delete","Cross-Cutting","Critical","Not Started","Any authenticated user performing a data-changing action","They create update or delete a record","An activity log entry is created with user_id action subject_type subject_id properties and timestamp","activity_log table receives entries for all CRUD operations; properties contain changed attributes","",""
"CC-006","Soft delete and restore","Cross-Cutting","Important","Not Started","A record with soft-delete support","A user with delete permission deletes the record","The record is soft-deleted (deleted_at set) and restorable by users with restore permission","deleted_at column is set; record no longer appears in default lists; restore action available to MG/AD roles; forceDelete available only to AD","",""
"CC-007","Record locking prevents accidental edits","Cross-Cutting","Important","Not Started","A service user record where is_locked = true","A non-management non-admin user attempts to edit the record","The edit action is denied","PeoplePolicy::update() returns false when is_locked = true for FL/AS/CO/AC roles; MG/AD can still edit","",""
"EQ-001","Create enquiry with all required fields","Enquiries","Critical","Not Started","A frontline worker (FL) is logged in","They submit a new enquiry with category caller details reason for contact and action taken","The enquiry is saved with status Open and appears in the enquiry list","Enquiry::create() succeeds; status defaults to open; all required fields validated (category people_id or caller name reason_for_contact action_taken user_id occurred_at); Filament form validation rejects missing required fields","UAT-001",""
"EQ-002","Enquiry category selection","Enquiries","Critical","Not Started","A user creating an enquiry","They select a category from the dropdown","The following categories are available: Family Advice Help for Self School/Madrassa Donation Offer Food Bank Referral Domestic Issues Mental Health Support General Community Support","EnquiryCategory enum values match; Filament select field renders all 8 options with correct labels colors and icons","",""
"EQ-003","Enquiry risk and safeguarding flags","Enquiries","Critical","Not Started","A frontline worker creating or editing an enquiry","They set safeguarding flags or risk flags","The flags are stored and visually highlighted on the enquiry record","safeguarding_flags (boolean) and risk_flags (text) are saved; Filament renders safeguarding flag with warning/danger indicator; only SG and AD roles see restricted risk details","UAT-002",""
"EQ-004","Enquiry referral tracking","Enquiries","Important","Not Started","An enquiry with a referral","The referral type is set to internal or external","The referral destination field is displayed and the referral details are stored","ReferralType enum accepts internal and external; referral_destination is conditionally required when referral_type is set; referral details stored on enquiry record","",""
"EQ-005","Convert enquiry to service user","Enquiries","Critical","Not Started","An open enquiry","A user with ConvertToServiceUser:Enquiry permission clicks Promote to Service User","A new People record with is_service_user = true and a ServiceUserProfile are created; the enquiry status changes to Converted; the original enquiry links to the new service user","ConvertToServiceUser action creates People with is_service_user = true; creates ServiceUserProfile linked to the new People; sets enquiry.status = converted and enquiry.converted_at; links enquiry to service user; audit log entry created","UAT-005",""
"EQ-006","Enquiry status lifecycle","Enquiries","Critical","Not Started","An enquiry with status Open","It is not converted to a service user","It can be closed with a reason; status transitions are: Open to Converted; Open to Closed","EnquiryStatus enum allows open converted closed; status can be changed manually to Closed; status cannot be changed back from Converted or Closed by FL/AS/CO roles","",""
"EQ-007","Enquiry search and filtering","Enquiries","Important","Not Started","A list of enquiries","A user searches by category status date range or caller name","The list is filtered to show matching enquiries only","Filament table search and filter work for category status occurred_at (date range) and related People name; results are scoped to the current team","",""
"EQ-008","Enquiry permissions by role","Enquiries","Critical","Not Started","Various roles performing enquiry actions","Each role attempts CRUD operations","Permissions enforced per role matrix (FL: Create/View/Update; AS: View/Convert; CO: View; SG: View/Convert; MG: View; AD: All)","Policy checks for each role; Filament hides/shows actions per role; direct HTTP requests return 403 for unauthorised actions","UAT-009",""
"SU-001","Create service user from enquiry conversion","Service Users","Critical","Not Started","An open enquiry (see EQ-005)","The conversion action completes","A People record is created with is_service_user = true and a ServiceUserProfile is created with all enquiry data transferred","People record has is_service_user = true; ServiceUserProfile linked with person_id; service user accessible via ServiceUserResource; default engagement_status = pending","UAT-005",""
"SU-002","Create service user directly","Service Users","Critical","Not Started","A user with Create:ServiceUser permission","They create a new service user with required fields (name date of birth target service team)","A People record with is_service_user = true and linked ServiceUserProfile are created","Direct creation via ServiceUserResource; is_service_user set to true; ServiceUserProfile auto-created; required fields validated","",""
"SU-003","Service user profile fields","Service Users","Critical","Not Started","An existing service user","Viewing their case file","The following profile sections are visible: Personal details Contact information Emergency contact Substance use details GP registration Engagement Consent","All fields from ServiceUserProfile and People models render in the case file view; enum fields display labels not values","UAT-003",""
"SU-004","Service team assignment","Service Users","Critical","Not Started","A service user profile","The target service team is set","The assignment is one of: Assessment Drug & Alcohol Spiritual Education & Outreach Aftercare","ServiceTeam enum values are the only valid options; assignment determines which counselor types can access the record","",""
"SU-005","Engagement status lifecycle","Service Users","Important","Not Started","A service user with engagement status Pending","Their engagement changes","Status can transition through: Pending to Active to Inactive to Discharged","EngagementStatus enum allows all four states; status changes are audit-logged; status transitions visible in case file timeline","",""
"SU-006","Consent tracking","Service Users","Critical","Not Started","A service user record","Consent fields are set (data storage referrals communications)","Each consent field is a boolean that is explicitly captured and visible on the profile","consent_data_storage consent_referrals consent_communications are boolean fields; default to false; must be explicitly set; displayed as checkboxes/toggles in Filament form","UAT-003",""
"SU-007","Service user permissions by role","Service Users","Critical","Not Started","Various roles performing service user actions","Each role attempts CRUD operations","Permissions enforced per role matrix (FL: View limited; AS: Create/View/Update assigned; CO: Create/View/Update assigned; SG: Create/View/Update all; MG: View all; AD: All)","ServiceUserPolicy enforces role-based access; assigned means service user's target_service_team matches user's counselor_types or department","UAT-003",""
"NT-001","Create a standard note","Notes","Critical","Not Started","A user with Create:Note permission (FL AS CO SG)","They create a note attached to a People or Company record","The note is saved with title body author timestamp and visibility = standard","Note created with creator_id = auth()->id() visibility = standard team_id = current_team_id; timestamp auto-set; note appears on the related record's notes relation manager","",""
"NT-002","Create a restricted note","Notes","Critical","Not Started","A safeguarding lead (SG) or admin (AD)","They create a note with visibility = restricted","The note is saved and visible only to safeguarding leads and admins","Note created with visibility = restricted; NotePolicy::view() returns false for non-SG/AD users; restricted notes hidden from FL/AS/CO/AC/FR/MG in Filament queries; restricted note creation UI only visible to SG/AD","UAT-002",""
"NT-003","Restricted note access enforcement","Notes","Critical","Not Started","A restricted note on a service user record","A non-safeguarding user (FL AS CO AC FR MG) attempts to view it","The note is not visible in any list detail view or API response","Global scope on Note model filters visibility = restricted for non-SG/AD roles; direct URL /admin/notes/{id} returns 403 for non-SG/AD; audit log records the access attempt","UAT-002",""
"NT-004","Note audit trail on access","Notes","Important","Not Started","A restricted note","A safeguarding lead views it","An audit log entry is created recording the access","Activity log entry created with event = viewed subject_type = Note subject_id = note_id causer_id = user_id; includes timestamp","",""
"NT-005","Note polymorphic attachment","Notes","Important","Not Started","A user creating a note","They attach the note to a People record or a Company record","The note is linked via the noteables pivot and appears on the respective record","noteables pivot stores note_id noteable_type noteable_id; note appears in the People resource notes relation manager; note appears in the Company resource notes relation manager","",""
"NT-006","Note timestamps and author","Notes","Critical","Not Started","Any note","Viewing the note detail or list","The created_at timestamp and creator name are displayed","created_at and creator_id are auto-populated; Filament columns show creator.name and formatted created_at","",""
"NT-007","Note permissions by role","Notes","Critical","Not Started","Various roles performing note actions","Each role attempts CRUD operations on standard and restricted notes","Permissions enforced per role matrix (FL/AS/CO: Create Standard/View Standard/Edit Own; SG: Create All/View All/Edit Own+Restricted; MG: View Standard only; AD: All)","Note creation form shows visibility field only for SG/AD; NotePolicy enforces view and create permissions per role; edit/delete limited to own notes unless SG/AD","",""
"AP-001","Create an appointment","Appointments","Critical","Not Started","A frontline worker (FL) or admin (AD)","They book an appointment selecting service user counselor type date start/end time","The appointment is created in the Schedule system with status scheduled","Schedule created with schedule_type = appointment; schedulable_type = User (counselor); metadata includes service_user_id counselor_type payment_type; status defaults to scheduled (AppointmentStatus enum)","UAT-006",""
"AP-002","Appointment type classification","Appointments","Critical","Not Started","A user creating an appointment","They select the appointment type","The type must be one of: Assessment Drug & Alcohol Spiritual Education & Outreach Aftercare","Metadata field counselor_type stores a valid CounselorType enum value; appointment visible to counselors matching that specialty","",""
"AP-003","Counselor availability validation","Appointments","Important","Not Started","A counselor with defined availability schedules","A user books an appointment outside the counselor's available hours","The system warns or prevents the booking","Schedule system checks schedule_type = availability for the counselor on the selected date; overlapping or out-of-availability appointments trigger validation error or warning","",""
"AP-004","Email confirmation on booking","Appointments","Important","Not Started","An appointment is successfully created","The booking is saved","An email confirmation is sent to the service user (if email provided) and/or the assigned counselor","SendAppointmentReminders or similar notification fires; Mailable/Notification class sends to relevant recipients; email includes date time counselor name location and cancellation link","UAT-006",""
"AP-005","Appointment status transitions","Appointments","Important","Not Started","An appointment with status scheduled","Status changes occur","Valid transitions are: scheduled to confirmed to completed; scheduled to cancelled; confirmed to cancelled","AppointmentStatus enum defines valid states; Filament action buttons for status transitions; audit log records each status change","",""
"AP-006","Appointment permissions by role","Appointments","Critical","Not Started","Various roles performing appointment actions","Each role attempts CRUD operations","Permissions enforced per role matrix (FL: Create/View; AS: View assigned; CO: View/Update/Cancel own; SG: View all; MG: Create/View/Update/Cancel/Delete all; AD: All)","SchedulePolicy enforces per-role permissions; own means schedulable_id = auth()->id(); assigned means service user is in user's assigned team","",""
"AP-007","Shared diary view","Appointments","Desirable","Not Started","A user with view appointment permissions","They access the diary/calendar view","They see all appointments they are authorised to view in a calendar or list format","Filament calendar/list widget shows appointments scoped to user's access level; FL sees all bookings; CO sees own availability + booked appointments; MG sees all","",""
"AF-001","Log a check-in call","Aftercare","Critical","Not Started","An aftercare worker (AC)","They log a telephone check-in for a service user","A task record is created with type = Follow-up Call linked to the service user with outcome and next steps","Task created with type = follow_up_call taskable_type = People taskable_id = service_user_id; includes due_date assigned to AC user; visible in service user's case file under related tasks","UAT-007",""
"AF-002","Follow-up task auto-generation - Active users","Aftercare","Important","Not Started","A service user with engagement_status = Active","A check-in call is logged","A follow-up task is auto-generated with due date = 1 week or 2 weeks (configurable) from the call date","Follow-up task created with type = follow_up_call due date set per configured interval; task assigned to the aftercare team/worker; creation logged in audit trail","",""
"AF-003","Follow-up task auto-generation - Post-care users","Aftercare","Important","Not Started","A service user with engagement_status = Inactive (post-care sober less than 2 years)","A check-in call is logged","A monthly follow-up task is auto-generated","Follow-up task created with monthly interval for inactive/post-care users; system differentiates between Active (weekly/bi-weekly) and Inactive (monthly) schedules","",""
"AF-004","Due/overdue task alerts","Aftercare","Important","Not Started","Follow-up tasks with approaching or past due dates","A task is due today or overdue","The task appears in an alert/dashboard widget for aftercare workers and managers","Task list filtered by due_date less than or equal to today and status not equal to completed; Filament widget or notification shows due/overdue tasks; MG can view all overdue tasks across teams","",""
"AF-005","Engagement history on service user record","Aftercare","Critical","Not Started","A service user with logged check-ins","Viewing the service user case file","All check-in calls follow-ups outcomes and next steps are visible in chronological order","Task relation manager on ServiceUserResource shows related tasks with type follow_up_call; tasks ordered by created_at descending; each task shows outcome next steps and assigned worker","UAT-003",""
"AF-006","Aftercare permissions by role","Aftercare","Critical","Not Started","Various roles performing aftercare actions","Each role attempts check-in and follow-up operations","Permissions enforced per role matrix (AC: Create/View assigned/Update own; SG: View all; MG: View all/Update; AD: All)","TaskPolicy enforces per-role check-in and follow-up permissions; AC can only create tasks with type = follow_up_call for assigned service users","",""
"DR-001","Partner organisation directory","Directories","Important","Not Started","A user with directory access (CO SG MG AD)","They access the partner directory","They can create view search and export partner organisation records with name address contact details type of support offered referral criteria notes and referral history","Company model with type = partner or custom field identifying directory type; Filament CompanyResource with partner-specific fields; search by name and type; export functionality available to MG/AD","",""
"DR-002","Education & outreach directory","Directories","Important","Not Started","A user with directory access","They access the education directory","They can create view search and export records for madrassas schools colleges and youth organisations including key contacts email addresses engagement history","Company model with type = education or custom field; key contacts stored as related People records; engagement history via notes relation; searchable by name and type","",""
"DR-003","Donor & supporter directory","Directories","Important","Not Started","A fundraising (FR) or admin (AD) user","They access the donor directory","They can create view search and export donor/supporter records","People records with type indicating donor role; FR can view/create donors; FR cannot see other record types; AD has full access; donor search and export available","",""
"DR-004","Directory export","Directories","Important","Not Started","A user with export permission (MG AD)","They click export on a directory","The directory data is exported as a downloadable file (CSV or Excel)","Filament export action generates downloadable file; export includes all visible fields; export scoped to current team","",""
"DR-005","Directory permissions by role","Directories","Critical","Not Started","Various roles accessing directories","Each role attempts directory operations","Permissions enforced per role matrix (FL: Read Partners/Education; CO: Read/Write Partners/Education; AC: Read Partners/Education; FR: Read/Write Donors only; MG: Read all; AD: Full)","CompanyPolicy and PeoplePolicy enforce per-role directory access; navigation menu items hidden for roles without access; direct URL access returns 403","",""
"DN-001","Record a donation","Donations","Important","Not Started","A fundraising (FR) or admin (AD) user","They create a donation record with donor amount date and Gift Aid status","The donation is saved and linked to the donor (People or Company)","Donation record created with donor_type donor_id amount donated_at gift_aid_status; polymorphic relation to People/Company; Gift Aid status is a selectable field","UAT-008",""
"DN-002","Gift Aid consent tracking","Donations","Important","Not Started","A donor record with Gift Aid consent","Viewing the donor profile or donation list","The Gift Aid status and consent are clearly displayed","gift_aid_status field on Donation or People model; consent fields visible on donor profile; donations eligible for Gift Aid are filterable","",""
"DN-003","Donation reporting by period and donor","Donations","Important","Not Started","A set of donation records","A manager (MG) or admin (AD) runs a donation report","Donations can be filtered and grouped by date range donor and Gift Aid status","Filament table filters for donated_at date range donor_id gift_aid_status; aggregate totals available; export to CSV/Excel","",""
"DN-004","Donation permissions by role","Donations","Critical","Not Started","Various roles performing donation actions","Each role attempts CRUD operations","Permissions enforced per role matrix (FR: Create/View/Update own team/Report; MG: View all/Report; AD: All)","Donation policy restricts access per role; FR cannot delete; MG read-only with report access; AD has full access","UAT-008",""
"SG-001","Create a safeguarding flag","Safeguarding","Critical","Not Started","A safeguarding lead (SG) user","They create a safeguarding flag on a service user or enquiry","The flag is stored with severity details and status and is visible only to safeguarding leads and admins","SafeguardingFlag record created with service_user_id enquiry_id (optional) severity details status = open created_by_id; only visible to SG and AD via global scope or policy","UAT-002",""
"SG-002","Safeguarding flag visibility restriction","Safeguarding","Critical","Not Started","A safeguarding flag on a service user","A non-safeguarding user (FL AS CO AC FR MG) views the service user record","Safeguarding flags are not visible","SafeguardingFlag model has a global scope filtering for SG/AD roles; Filament relation manager hidden for non-SG/AD; direct API access returns empty result for non-SG/AD","UAT-002",""
"SG-003","Resolve a safeguarding flag","Safeguarding","Important","Not Started","An open safeguarding flag","A safeguarding lead resolves it with notes","The flag status changes to resolved with resolved_at timestamp and resolving user","Status transition from open to resolved; resolved_at and resolved_by (optional) recorded; audit log entry created; resolved flags visible but clearly marked","",""
"SG-004","Safeguarding flag on enquiry","Safeguarding","Critical","Not Started","A frontline worker creating an enquiry","They tick the safeguarding flag checkbox","A safeguarding flag is created and an alert is sent to safeguarding leads","enquiry.safeguarding_flags = true triggers flag creation; notification sent to SG role users; flag linked to both the enquiry and the associated person","",""
"SG-005","Restricted notes visibility (cross-ref NT-002/003)","Safeguarding","Critical","Not Started","See Notes module - NT-002 and NT-003","","","Verified under NT-002 and NT-003","NT-002; NT-003",""
"SG-006","Consent tracking on service user (cross-ref SU-006)","Safeguarding","Critical","Not Started","See Service Users module - SU-006","","","Verified under SU-006","SU-006",""
"SG-007","Consent field visibility","Safeguarding","Important","Not Started","A service user profile with consent fields","Viewing the profile","Consent fields (data storage referrals communications) are prominently displayed with clear yes/no indicators","Filament form shows consent fields as toggles/checkboxes with clear labels; consent status visible in service user list view or summary; changes to consent are audit-logged","",""
"RP-001","Enquiry volume and category report","Reporting","Important","Not Started","A manager (MG) or admin (AD) user","They request an enquiry report for a date range","They see count of enquiries by category status and handling team member","Filament report or widget showing aggregate enquiry data; filterable by occurred_at date range category status; data scoped to current team","UAT-004",""
"RP-002","Service user engagement report","Reporting","Important","Not Started","A manager (MG) or admin (AD) user","They request an engagement report","They see service user count by service team engagement status and date range","Report showing target_service_team distribution and engagement_status counts; filterable by date range; scoped to current team","",""
"RP-003","Donation and Gift Aid report","Reporting","Important","Not Started","A fundraising (FR) manager (MG) or admin (AD) user","They request a donation report","They see donation totals by period donor and Gift Aid status","Donation report with totals and Gift Aid breakdown; exportable to CSV/Excel; scoped to current team or donor","",""
"RP-004","Export functionality","Reporting","Important","Not Started","Any user with export permission on a resource","They click the export button on a list view","The data is exported as a downloadable file (CSV or Excel)","Filament export action generates file; export respects current filters and team scope; file contains all visible columns; large exports are queued","",""
"RP-005","Report access permissions","Reporting","Critical","Not Started","Various roles accessing reports","Each role attempts to view and export reports","Permissions enforced per role matrix (FL: None; SG: Read enquiries; FR: Read/Write donations; MG: Read all/Export; AD: Read/Write all/Export)","Dashboard widgets and report pages restricted per role; export button visibility matches permission matrix","UAT-009",""
"AT-001","Automatic logging of model changes","Audit Trail","Critical","Not Started","Any authenticated user","They create update or delete an Enquiry People ServiceUserProfile Note Company Task or Schedule","An activity log entry is created with the user action subject and changed properties","activity_log table has entries for each CRUD action; entry includes causer_id subject_type subject_id description properties (old/new values) created_at; Spatie ActivityLog package configured for all relevant models","",""
"AT-002","Access logging for restricted notes","Audit Trail","Critical","Not Started","A safeguarding lead viewing a restricted note","They access the note","The access is logged with timestamp and user identity","Activity log entry with event = viewed for restricted note access; includes causer_id and subject_id","",""
"AT-003","Audit log access permissions","Audit Trail","Critical","Not Started","A manager (MG) or admin (AD) user","They navigate to the audit log","They can view all activity log entries filtered by user model action and date range","Filament ActivityLog resource accessible to MG/AD roles only; filterable by causer_id subject_type event created_at; entries cannot be edited or deleted by any role except AD","",""
"AT-004","Audit log is read-only","Audit Trail","Critical","Not Started","Any user","They view the audit log","They cannot create update or delete log entries manually","No create/update/delete actions in ActivityLog resource; direct API requests return 403; only system-generated entries exist","",""
"NF-001","Page load time","Non-Functional","Important","Not Started","A standard dataset (10000 records or fewer per model)","A user loads any Filament resource list page","The page renders within 3 seconds","Measure with browser DevTools or Lighthouse; average response time less than 3s for list pages with pagination","",""
"NF-002","Enquiry creation speed","Non-Functional","Critical","Not Started","A frontline worker","They log a new phone enquiry","The entire process (open form fill submit) takes under 60 seconds","UAT criterion from kickoff checklist; form has minimal required fields; auto-fill where possible (caller lookup timestamp handler)","UAT-001",""
"NF-003","Data isolation between tenants","Non-Functional","Critical","Not Started","Team A and Team B with separate data","Any user in Team A performs any read or write operation","They never see or modify Team B's data","All tenant-scoped models use global scope filtering by team_id; direct URL manipulation returns 404/403; no cross-tenant data leaks in API or Filament responses","UAT-010",""
"NF-004","HTTPS enforcement","Non-Functional","Important","Not Started","The production environment","A user accesses the application","All requests are served over HTTPS","SSL/TLS certificate installed; HTTP requests redirect to HTTPS; Herd secure site or production server configured","",""
"NF-005","Session security","Non-Functional","Important","Not Started","An authenticated session","The session is inactive for the configured timeout","The session expires and the user must re-authenticate","Session lifetime configured in config/session.php; Filament auth session respects timeout; idle sessions expire","",""
"NF-006","Browser support","Non-Functional","Important","Not Started","A user accessing the CRM","They use Chrome Edge Safari or Firefox (latest 2 versions)","All features function correctly","UAT testing on Chrome Edge Safari Firefox latest; no JavaScript errors; all Filament components render correctly","",""